,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7053,7053,F36469,401.0,E,2.0,2021-10-21 12:07:23.947,2021-10-21,2021-10-20 00:00:00,2021-11-05,,1392.0,0.0,0.0
7054,7054,F36470,3803.0,E,2.0,2021-10-21 12:51:34.323,2021-10-21,2021-10-20 00:00:00,2021-11-20,,5450.0,0.0,0.0
7055,7055,F36471,8145.0,E,1.0,2021-10-21 13:01:19.650,2021-10-21,2021-10-18 00:00:00,2021-10-21,,24300.000000000004,0.0,0.0
7056,7056,F36472,8316.0,E,2.0,2021-10-21 13:04:29.287,2021-10-21,2021-10-21 00:00:00,2021-10-21,,9500.0,0.0,0.0
7057,7057,F36473,5598.0,E,2.0,2021-10-21 13:09:55.180,2021-10-21,2021-10-20 00:00:00,2021-10-21,,1988.8,0.0,0.0
7058,7058,F36474,8484.0,E,2.0,2021-10-21 13:42:35.157,2021-10-21,2021-10-21 00:00:00,2021-10-21,,1136.0,0.0,0.0
7059,7059,F36475,5804.0,E,2.0,2021-10-21 15:09:27.497,2021-10-21,2021-10-18 00:00:00,2021-10-21,,993.0,0.0,0.0
7060,7060,F36476,8257.0,E,6.0,2021-10-21 16:22:10.740,2021-10-21,2021-10-21 00:00:00,2021-11-20,,2250.0,0.0,0.0
7061,7061,F36477,908.0,E,2.0,2021-10-22 08:36:40.917,2021-10-22,2021-10-21 00:00:00,2021-11-06,,1995.5,0.0,0.0
7062,7062,F36478,8475.0,E,2.0,2021-10-22 08:42:43.017,2021-10-22,2021-10-22 00:00:00,2021-10-22,,2400.0,0.0,0.0
7063,7063,F36479,1016.0,E,3.0,2021-10-22 09:16:25.793,2021-10-22,2021-10-22 00:00:00,2021-11-21,,4400.0,0.0,0.0
7064,7064,F36480,8479.0,E,2.0,2021-10-22 10:07:45.477,2021-10-22,2021-10-21 00:00:00,2021-10-22,,302.98,0.0,0.0
7065,7065,F36481,8482.0,E,2.0,2021-10-22 10:35:37.860,2021-10-22,2021-10-22 00:00:00,2021-10-22,,1416.7,0.0,0.0
7066,7066,F36482,8196.0,E,2.0,2021-10-22 11:08:55.877,2021-10-22,2021-10-22 00:00:00,2021-10-22,,224.22000000000003,0.0,0.0
7067,7067,F36483,2357.0,E,2.0,2021-10-22 11:30:30.803,2021-10-22,2021-10-06 00:00:00,2021-10-22,,3552.5000000000005,0.0,0.0
7068,7068,F36484,8397.0,E,2.0,2021-10-22 12:41:56.257,2021-10-22,2021-10-22 00:00:00,2021-10-22,,587.13,0.0,0.0
7069,7069,F36485,8408.0,E,3.0,2021-10-22 14:18:15.007,2021-10-22,2021-10-22 00:00:00,2021-10-22,,1352.5,0.0,0.0
7070,7070,F36486,5926.0,E,2.0,2021-10-22 16:44:22.927,2021-10-22,2021-10-21 00:00:00,2021-10-22,,1856.99,0.0,0.0
7071,7071,F36487,5926.0,E,2.0,2021-10-22 16:51:03.963,2021-10-22,2021-10-21 00:00:00,2021-10-22,,377.83,0.0,0.0
7072,7072,F36488,5804.0,E,2.0,2021-10-22 16:54:11.273,2021-10-22,2021-10-22 00:00:00,2021-10-22,,920.0,0.0,0.0
7073,7073,F36489,6724.0,E,2.0,2021-10-25 09:47:50.857,2021-10-25,2021-10-20 00:00:00,2021-10-25,,210.0,0.0,0.0
7074,7074,F36490,253.0,E,3.0,2021-10-25 11:13:43.300,2021-10-25,2021-10-25 00:00:00,2021-12-09,,3923.0,0.0,0.0
7075,7075,F36491,5746.0,E,2.0,2021-10-25 11:59:28.733,2021-10-25,2021-10-25 00:00:00,2021-10-25,,519.5,0.0,0.0
7076,7076,F36492,6253.0,E,1.0,2021-10-25 15:07:42.990,2021-10-25,2021-10-25 00:00:00,2021-12-24,,9500.0,0.0,0.0
7077,7077,F36493,8473.0,E,2.0,2021-10-25 16:10:17.437,2021-10-25,2021-10-13 00:00:00,2021-10-25,,1366.75,0.0,0.0
7078,7078,F36494,8325.0,E,2.0,2021-10-25 16:25:44.893,2021-10-25,2021-10-25 00:00:00,2021-10-25,,300.00000000000006,0.0,0.0
7079,7079,F36495,5926.0,E,2.0,2021-10-25 17:10:02.337,2021-10-25,2021-10-25 00:00:00,2021-10-25,,1450.6699999999998,0.0,0.0
7080,7080,F36496,3032.0,E,2.0,2021-10-26 10:25:21.677,2021-10-26,2021-10-26 00:00:00,2021-10-26,,637.5006,0.0,0.0
7081,7081,F36497,6152.0,E,3.0,2021-10-26 10:46:22.610,2021-10-26,2021-10-20 00:00:00,2021-11-03,,6204.8,0.0,0.0
7082,7082,F36498,4598.0,E,1.0,2021-10-26 12:30:42.880,2021-10-26,2021-10-25 00:00:00,2021-11-25,,19156.300000000003,0.0,0.0
7083,7083,F36499,6009.0,E,2.0,2021-10-26 13:41:43.510,2021-10-26,2021-10-26 00:00:00,2021-10-26,,275.88,0.0,0.0
7084,7084,F36500,4535.0,E,2.0,2021-10-26 14:58:21.210,2021-10-26,2021-10-26 00:00:00,2021-10-26,,1424.5,0.0,0.0
7085,7085,F36501,4535.0,E,2.0,2021-10-26 14:59:51.780,2021-10-26,2021-10-26 00:00:00,2021-10-26,,1330.0,0.0,0.0
7086,7086,F36502,5923.0,E,2.0,2021-10-26 15:12:11.573,2021-10-26,2021-10-26 00:00:00,2021-10-26,,570.0,0.0,0.0
7087,7087,F36503,6890.0,E,2.0,2021-10-26 16:17:25.657,2021-10-26,2021-10-26 00:00:00,2021-10-26,,240.00000000000003,0.0,0.0
7088,7088,F36504,5926.0,E,2.0,2021-10-27 08:09:16.670,2021-10-27,2021-10-26 00:00:00,2021-10-27,,607.92,0.0,0.0
7089,7089,F36505,8487.0,E,2.0,2021-10-27 10:31:36.230,2021-10-27,2021-10-27 00:00:00,2021-10-27,,130.0,0.0,0.0
7090,7090,F36506,8488.0,E,2.0,2021-10-27 10:54:28.350,2021-10-27,2021-10-27 00:00:00,2021-10-27,,115.65220000000002,0.0,0.0
7091,7091,F36507,6797.0,E,2.0,2021-10-27 11:47:46.773,2021-10-27,2021-10-27 00:00:00,2021-10-27,,403.25,0.0,0.0
7092,7092,F36508,8490.0,E,2.0,2021-10-27 12:27:45.147,2021-10-27,2021-10-27 00:00:00,2021-10-27,,1680.0000000000002,0.0,0.0
7093,7093,F36509,8490.0,E,2.0,2021-10-27 12:30:37.817,2021-10-27,2021-10-27 00:00:00,2021-10-27,,902.02,0.0,0.0
7094,7094,F36510,4480.0,E,2.0,2021-10-27 13:01:57.527,2021-10-27,2021-10-21 00:00:00,2021-11-11,,2904.4,0.0,0.0
7095,7095,F36511,4480.0,E,2.0,2021-10-27 13:07:43.223,2021-10-27,2021-10-27 00:00:00,2021-11-11,,1137.5,0.0,0.0
7096,7096,F36512,8186.0,E,2.0,2021-10-27 13:22:23.980,2021-10-27,2021-10-27 00:00:00,2021-10-27,,94.84,0.0,0.0
7097,7097,F36513,4403.0,E,2.0,2021-10-27 13:35:40.677,2021-10-27,2021-10-27 00:00:00,2021-10-27,,847.0000000000001,0.0,0.0
7098,7098,F36514,5589.0,E,2.0,2021-10-27 14:02:54.630,2021-10-27,2021-10-27 00:00:00,2021-10-27,,965.0,0.0,0.0
7099,7099,F36515,5589.0,E,2.0,2021-10-27 14:04:26.797,2021-10-27,2021-10-26 00:00:00,2021-10-27,,2106.0,0.0,0.0
7100,7100,F36516,466.0,E,1.0,2021-10-27 14:58:56.587,2021-10-27,2021-09-30 00:00:00,2021-12-26,,21399.51,0.0,0.0
7101,7101,F36517,5921.0,E,2.0,2021-10-27 15:51:10.033,2021-10-27,2021-10-27 00:00:00,2021-11-11,,3431.0000000000005,0.0,0.0
7102,7102,F36518,8419.0,E,2.0,2021-10-27 16:14:20.377,2021-10-27,2021-09-08 00:00:00,2021-10-27,,2625.0,0.0,0.0
7103,7103,F36519,8491.0,E,2.0,2021-10-27 16:47:48.867,2021-10-27,2021-10-27 00:00:00,2021-10-27,,670.0,0.0,0.0
7104,7104,F36520,5926.0,E,2.0,2021-10-27 16:50:18.813,2021-10-27,2021-10-27 00:00:00,2021-10-27,,1155.92,0.0,0.0
7105,7105,F36521,8476.0,E,2.0,2021-10-28 10:14:59.167,2021-10-28,2021-10-28 00:00:00,2021-11-27,,8400.0,0.0,0.0
7106,7106,F36522,3047.0,E,2.0,2021-10-28 10:18:50.817,2021-10-28,2021-10-28 00:00:00,2021-11-12,,912.0,0.0,0.0
7107,7107,F36523,8492.0,E,2.0,2021-10-28 10:27:53.220,2021-10-28,2021-10-28 00:00:00,2021-10-28,,617.8,0.0,0.0
7108,7108,F36524,2483.0,E,2.0,2021-10-28 11:34:25.703,2021-10-28,2021-10-28 00:00:00,2021-10-28,,2047.44,0.0,0.0
7109,7109,F36525,5926.0,E,2.0,2021-10-28 11:53:55.427,2021-10-28,2021-10-26 00:00:00,2021-10-28,,968.78,0.0,0.0
7110,7110,F36526,1485.0,E,2.0,2021-10-28 12:14:24.183,2021-10-28,2021-10-28 00:00:00,2021-10-28,,8700.0,0.0,0.0
7111,7111,F36527,4797.0,E,2.0,2021-10-28 14:39:28.140,2021-10-28,2021-10-28 00:00:00,2021-11-12,,2938.2500000000005,0.0,0.0
7112,7112,F36528,4843.0,E,2.0,2021-10-28 15:15:28.340,2021-10-28,2021-10-28 00:00:00,2021-10-28,,3147.0000000000005,0.0,0.0
7113,7113,F36529,2995.0,E,2.0,2021-10-28 15:37:29.653,2021-10-28,2021-10-28 00:00:00,2021-11-05,,6290.360000000001,0.0,0.0
7114,7114,F36530,2995.0,E,2.0,2021-10-28 15:47:13.517,2021-10-28,2021-10-28 00:00:00,2021-11-05,,2730.6200000000003,0.0,0.0
7115,7115,F36531,8383.0,E,3.0,2021-10-28 18:05:28.283,2021-10-28,2021-10-08 00:00:00,2021-10-28,,8951.16,0.0,0.0
7116,7116,F36532,5926.0,E,2.0,2021-10-28 18:07:17.273,2021-10-28,2021-10-28 00:00:00,2021-10-28,,85.96940000000001,0.0,0.0
7117,7117,F36533,8170.0,E,2.0,2021-10-29 10:39:58.967,2021-10-29,2021-10-29 00:00:00,2021-10-29,,1729.5,0.0,0.0
7118,7118,F36534,4486.0,E,6.0,2021-10-29 10:53:26.993,2021-10-29,2021-10-29 00:00:00,2021-10-29,,2250.0,0.0,0.0
7119,7119,F36535,5926.0,E,2.0,2021-10-29 11:35:58.370,2021-10-29,2021-10-27 00:00:00,2021-10-29,,910.0,0.0,0.0
7120,7120,F36536,6059.0,E,5.0,2021-10-29 12:25:24.273,2021-10-29,2021-10-29 00:00:00,2021-10-29,,342.91,0.0,0.0
7121,7121,F36537,4843.0,E,2.0,2021-10-29 12:57:37.390,2021-10-29,2021-10-25 00:00:00,2021-10-29,,4340.0,0.0,0.0
7122,7122,F36538,5173.0,E,2.0,2021-10-29 14:57:58.947,2021-10-29,2021-10-08 00:00:00,2021-10-29,,1300.0,0.0,0.0
7123,7123,F36539,8474.0,E,2.0,2021-10-29 15:52:40.607,2021-10-29,2021-10-15 00:00:00,2021-10-29,,2250.0,0.0,0.0
7124,7124,F36540,8480.0,E,2.0,2021-10-29 15:58:47.820,2021-10-29,2021-10-21 00:00:00,2021-10-29,,734.0000000000001,0.0,0.0
7125,7125,F36541,5602.0,E,3.0,2021-10-29 16:05:47.750,2021-10-29,2021-10-26 00:00:00,2021-10-29,,3955.05,0.0,0.0
7126,7126,F36542,8229.0,E,2.0,2021-10-29 16:11:21.457,2021-10-29,2021-10-26 00:00:00,2021-10-29,,3630.500000000001,0.0,0.0
7127,7127,F36543,2357.0,E,2.0,2021-10-29 16:15:47.887,2021-10-29,2021-11-03 00:00:00,2021-10-29,,8750.0,0.0,0.0
7128,7128,F36544,8489.0,E,2.0,2021-10-29 16:27:23.697,2021-10-29,2021-11-05 00:00:00,2021-10-29,,2857.3500000000004,0.0,0.0
7129,7129,F36545,6839.0,E,2.0,2021-10-29 16:29:40.710,2021-10-29,2021-11-03 00:00:00,2021-10-29,,7900.000000000001,0.0,0.0
7130,7130,F36546,3919.0,E,2.0,2021-10-29 16:37:33.657,2021-10-29,2021-10-22 00:00:00,2021-10-29,,728.46,0.0,0.0
7131,7131,F36547,5233.0,E,2.0,2021-10-29 16:39:39.860,2021-10-29,2021-10-27 00:00:00,2021-10-29,,1684.0000000000002,0.0,0.0
7132,7132,F36548,8486.0,E,2.0,2021-10-29 16:42:02.377,2021-10-29,2021-11-05 00:00:00,2021-10-29,,4136.0,0.0,0.0
7133,7133,F36549,8481.0,C,2.0,2021-10-29 16:50:53.997,2021-10-29,2021-10-29 00:00:00,2021-10-29,2021-10-29,431.038,0.0,0.0
7134,7134,F36550,8483.0,E,2.0,2021-10-29 16:54:21.560,2021-10-29,2021-10-29 00:00:00,2021-10-29,,862.065,0.0,0.0
7135,7135,F36551,4375.0,E,1.0,2021-10-29 16:55:00.790,2021-10-29,2021-10-29 00:00:00,2021-12-13,,412116.92,0.0,0.0
7136,7136,F36552,1600.0,E,6.0,2021-10-29 16:58:43.837,2021-10-29,2021-10-29 00:00:00,2021-10-29,,11662.000000000002,0.0,0.0
7137,7137,F36553,6406.0,E,2.0,2021-10-29 17:00:30.607,2021-10-29,2021-10-29 00:00:00,2021-10-29,,1095.88,0.0,0.0
7138,7138,F36554,5926.0,E,2.0,2021-10-29 17:02:31.033,2021-10-29,2021-10-29 00:00:00,2021-10-29,,3266.2100000000005,0.0,0.0
7139,7139,F36555,5926.0,E,2.0,2021-10-29 17:04:39.957,2021-10-29,2021-10-29 00:00:00,2021-10-29,,402.00000000000006,0.0,0.0
7140,7140,F36556,5926.0,E,2.0,2021-10-29 17:06:34.697,2021-10-29,2021-10-15 00:00:00,2021-10-29,,1128.0,0.0,0.0
7141,7141,F36557,8481.0,E,2.0,2021-10-29 17:38:39.230,2021-10-29,2021-10-22 00:00:00,2021-10-29,,862.5000000000001,0.0,0.0
7142,7142,F36558,1207.0,E,2.0,2021-10-29 18:01:30.930,2021-10-29,2021-10-29 00:00:00,2021-11-13,,2815.3790000000004,0.0,0.0
7143,7143,F36559,5926.0,E,2.0,2021-10-29 18:03:27.903,2021-10-29,2021-10-29 00:00:00,2021-10-29,,1293.103,0.0,0.0
7144,7144,F36560,5926.0,C,2.0,2021-10-29 18:04:45.553,2021-10-29,2021-10-29 00:00:00,2021-10-29,2021-11-02,343.75800000000004,0.0,0.0
7145,7145,F36561,8468.0,E,2.0,2021-11-03 09:39:09.253,2021-11-03,2021-11-03 00:00:00,2021-11-03,,1350.0,0.0,0.0
7146,7146,F36562,8498.0,E,2.0,2021-11-03 09:42:29.063,2021-11-03,2021-11-03 00:00:00,2021-11-03,,347.2875,0.0,0.0
7147,7147,F36563,8497.0,E,1.0,2021-11-03 10:10:35.653,2021-11-03,2021-11-02 00:00:00,2021-11-03,,158.455,0.0,0.0
7148,7148,F36564,4714.0,E,3.0,2021-11-03 10:14:02.213,2021-11-03,2021-11-02 00:00:00,2021-11-03,,3875.2908000000007,0.0,0.0
7149,7149,F36565,3033.0,E,1.0,2021-11-03 10:16:23.907,2021-11-03,2021-11-02 00:00:00,2021-11-03,,851.7993,0.0,0.0
7150,7150,F36566,8229.0,E,2.0,2021-11-03 10:20:01.277,2021-11-03,2021-11-03 00:00:00,2021-11-03,,753.0000000000001,0.0,0.0
7151,7151,F36567,8495.0,E,3.0,2021-11-03 10:29:57.950,2021-11-03,2021-11-02 00:00:00,2021-11-03,,1647.3000000000002,0.0,0.0
7152,7152,F36568,8496.0,C,1.0,2021-11-03 10:31:23.073,2021-11-03,2021-11-02 00:00:00,2021-11-03,2021-11-03,425.00000000000006,0.0,0.0
